"","gene_symbol","ave.exp","cluster","condition"
"1","Dst",1.81963121554959,"Excitatory.neurons","5X"
"2","Gls",1.84255848610843,"Excitatory.neurons","5X"
"3","Sf3b1",1.80543038723713,"Excitatory.neurons","5X"
"4","Map2",2.19230665462463,"Excitatory.neurons","5X"
"5","Unc80",1.8039256912359,"Excitatory.neurons","5X"
"6","R3hdm1",2.77054205896725,"Excitatory.neurons","5X"
"7","Atp1b1",2.45934038583366,"Excitatory.neurons","5X"
"8","Hnrnpu",2.06085921335672,"Excitatory.neurons","5X"
"9","Celf2",3.10011696470663,"Excitatory.neurons","5X"
"10","Grin1",2.09011208057881,"Excitatory.neurons","5X"
"11","Sptan1",1.77853079529472,"Excitatory.neurons","5X"
"12","Lrp1b",1.93407808483516,"Excitatory.neurons","5X"
"13","Scn2a",1.76759656624501,"Excitatory.neurons","5X"
"14","Chn1",1.81462938958676,"Excitatory.neurons","5X"
"15","Slc1a2",1.82293062740045,"Excitatory.neurons","5X"
"16","Snap25",2.67049146800081,"Excitatory.neurons","5X"
"17","Rbm39",2.36655368197441,"Excitatory.neurons","5X"
"18","Snhg11",5.05257469118642,"Excitatory.neurons","5X"
"19","C230004F18Rik",1.95502807692521,"Excitatory.neurons","5X"
"20","Ogt",1.99347919591013,"Excitatory.neurons","5X"
"21","Gpm6b",1.85786715398239,"Excitatory.neurons","5X"
"22","Tnik",1.77001525573855,"Excitatory.neurons","5X"
"23","Ttc14",2.42710861500283,"Excitatory.neurons","5X"
"24","Dclk1",2.38169477524512,"Excitatory.neurons","5X"
"25","Gria2",3.24794147252868,"Excitatory.neurons","5X"
"26","Ank2",2.64627387693146,"Excitatory.neurons","5X"
"27","Ppp3ca",1.76419678646317,"Excitatory.neurons","5X"
"28","Fubp1",1.79180159202597,"Excitatory.neurons","5X"
"29","Zranb2",2.1888743130675,"Excitatory.neurons","5X"
"30","Srsf11",2.30649484289725,"Excitatory.neurons","5X"
"31","Lrrc7",2.13845822705743,"Excitatory.neurons","5X"
"32","Pnisr",2.4392460833484,"Excitatory.neurons","5X"
"33","Ptprd",3.27327012235906,"Excitatory.neurons","5X"
"34","Atp6v0b",2.5708506994199,"Excitatory.neurons","5X"
"35","Macf1",1.99319526435892,"Excitatory.neurons","5X"
"36","Sfpq",1.82415948242136,"Excitatory.neurons","5X"
"37","Rsrp1",2.54105354209634,"Excitatory.neurons","5X"
"38","Cacna2d1",1.77415903358609,"Excitatory.neurons","5X"
"39","Kcnip4",2.19824413852182,"Excitatory.neurons","5X"
"40","Epha5",2.13728073088685,"Excitatory.neurons","5X"
"41","Miat",2.00197253739555,"Excitatory.neurons","5X"
"42","Cttnbp2",1.89734911741524,"Excitatory.neurons","5X"
"43","Luc7l2",2.51161713996156,"Excitatory.neurons","5X"
"44","Tra2a",1.86835458903163,"Excitatory.neurons","5X"
"45","Tia1",1.9288741833107,"Excitatory.neurons","5X"
"46","Atp2b2",1.89417762019159,"Excitatory.neurons","5X"
"47","Grin2b",2.37125399858606,"Excitatory.neurons","5X"
"48","Peg3",1.94458950968076,"Excitatory.neurons","5X"
"49","Atp1a3",2.33995662934362,"Excitatory.neurons","5X"
"50","Snrnp70",2.62568188004061,"Excitatory.neurons","5X"
"51","Nav2",1.8440806598521,"Excitatory.neurons","5X"
"52","Grm5",1.78533015383167,"Excitatory.neurons","5X"
"53","Dlg2",2.09725482812743,"Excitatory.neurons","5X"
"54","Fus",2.3888772555994,"Excitatory.neurons","5X"
"55","Kcnq1ot1",2.73839650921868,"Excitatory.neurons","5X"
"56","Syne1",2.03344779395101,"Excitatory.neurons","5X"
"57","Ahi1",2.55230998502003,"Excitatory.neurons","5X"
"58","Ank3",2.10249719368451,"Excitatory.neurons","5X"
"59","Anks1b",1.92900590332153,"Excitatory.neurons","5X"
"60","Atp2b1",2.61117639932084,"Excitatory.neurons","5X"
"61","Syt1",3.18716443943255,"Excitatory.neurons","5X"
"62","Dlgap2",1.90637786401359,"Excitatory.neurons","5X"
"63","Csmd1",2.39250987705038,"Excitatory.neurons","5X"
"64","Sorbs2",2.23101018975382,"Excitatory.neurons","5X"
"65","Gpm6a",1.80135232932263,"Excitatory.neurons","5X"
"66","Kcnma1",1.84009691436681,"Excitatory.neurons","5X"
"67","Erc2",1.75282503955222,"Excitatory.neurons","5X"
"68","Slc22a17",1.81846826347982,"Excitatory.neurons","5X"
"69","Mir124a-1hg",2.34331685224046,"Excitatory.neurons","5X"
"70","Pcdh9",1.81422817569107,"Excitatory.neurons","5X"
"71","Mycbp2",2.11984505799224,"Excitatory.neurons","5X"
"72","Opcml",2.4154363085291,"Excitatory.neurons","5X"
"73","Nptn",1.8772994963716,"Excitatory.neurons","5X"
"74","Herc1",1.76958018987793,"Excitatory.neurons","5X"
"75","Rbm5",1.76093745676229,"Excitatory.neurons","5X"
"76","Trank1",1.9140366346009,"Excitatory.neurons","5X"
"77","Arpp21",2.83781056753385,"Excitatory.neurons","5X"
"78","Nktr",2.09505682631429,"Excitatory.neurons","5X"
"79","9530059O14Rik",1.90531777265597,"Excitatory.neurons","5X"
"80","Sptbn1",1.78400759345058,"Excitatory.neurons","5X"
"81","Luc7l3",1.8897777725016,"Excitatory.neurons","5X"
"82","Atp6v0a1",1.81995113877375,"Excitatory.neurons","5X"
"83","Mapt",1.84220171270993,"Excitatory.neurons","5X"
"84","Baiap2",1.78923643228671,"Excitatory.neurons","5X"
"85","Ryr2",1.86659773383961,"Excitatory.neurons","5X"
"86","Phactr1",2.19046065076172,"Excitatory.neurons","5X"
"87","Ntrk2",1.97623979697314,"Excitatory.neurons","5X"
"88","Mef2c",2.33500525926269,"Excitatory.neurons","5X"
"89","Map1b",1.97961230210149,"Excitatory.neurons","5X"
"90","Myt1l",1.78845419649845,"Excitatory.neurons","5X"
"91","Nrcam",2.16853288199598,"Excitatory.neurons","5X"
"92","Rtn1",2.43267045721887,"Excitatory.neurons","5X"
"93","Rbm25",1.92202900510512,"Excitatory.neurons","5X"
"94","Nrxn3",2.09308417474216,"Excitatory.neurons","5X"
"95","Meg3",5.38199355244016,"Excitatory.neurons","5X"
"96","Phf20l1",1.8964601560118,"Excitatory.neurons","5X"
"97","Kif21a",1.76975706900101,"Excitatory.neurons","5X"
"98","Grin2a",2.13896468061171,"Excitatory.neurons","5X"
"99","Abcc5",1.81098627204614,"Excitatory.neurons","5X"
"100","Kalrn",2.4442024823856,"Excitatory.neurons","5X"
"101","Cadm2",2.35889155701382,"Excitatory.neurons","5X"
"102","App",2.40360816229141,"Excitatory.neurons","5X"
"103","Son",2.06692992199401,"Excitatory.neurons","5X"
"104","Ttc3",2.60933619645421,"Excitatory.neurons","5X"
"105","Srrm2",2.49469682810038,"Excitatory.neurons","5X"
"106","Gm26917",2.74979413760652,"Excitatory.neurons","5X"
"107","Gm42418",3.14327046724725,"Excitatory.neurons","5X"
"108","Ptprs",2.14614866326512,"Excitatory.neurons","5X"
"109","Dlgap1",2.48466506892109,"Excitatory.neurons","5X"
"110","Nrxn1",2.49243334137221,"Excitatory.neurons","5X"
"111","Celf4",1.88829705823077,"Excitatory.neurons","5X"
"112","Camk2a",2.42816807657474,"Excitatory.neurons","5X"
"113","Tcf4",2.05922307796643,"Excitatory.neurons","5X"
"114","Malat1",6.57992469556545,"Excitatory.neurons","5X"
"115","Rtn3",1.9887048675892,"Excitatory.neurons","5X"
"116","AC149090.1",2.45742846361207,"Excitatory.neurons","5X"
"117","Dst",1.87900078641925,"Interneurons","5X"
"118","Sf3b1",1.78032836648446,"Interneurons","5X"
"119","Map2",2.03396266474754,"Interneurons","5X"
"120","Pam",1.80870942971823,"Interneurons","5X"
"121","Atp1b1",3.23981423069121,"Interneurons","5X"
"122","Hnrnpu",1.98442968059535,"Interneurons","5X"
"123","Celf2",1.84972986235876,"Interneurons","5X"
"124","Etl4",1.81661419449765,"Interneurons","5X"
"125","Grin1",1.92260467411862,"Interneurons","5X"
"126","Scn1a",1.85094068766286,"Interneurons","5X"
"127","Gad1",1.88681231769806,"Interneurons","5X"
"128","Snap25",2.23047590977519,"Interneurons","5X"
"129","Rbm39",2.41724895469647,"Interneurons","5X"
"130","Snhg11",5.3236212574082,"Interneurons","5X"
"131","Syp",1.76416938606257,"Interneurons","5X"
"132","Pcsk1n",2.03380661746495,"Interneurons","5X"
"133","Ogt",2.1716618866707,"Interneurons","5X"
"134","5330434G04Rik",2.34588607795476,"Interneurons","5X"
"135","Ttc14",2.3601997264946,"Interneurons","5X"
"136","Dclk1",1.77663628473835,"Interneurons","5X"
"137","Gria2",2.89206908033197,"Interneurons","5X"
"138","Syt11",1.87637973573789,"Interneurons","5X"
"139","Sv2a",1.77783720399163,"Interneurons","5X"
"140","Ank2",2.42618948245724,"Interneurons","5X"
"141","Zranb2",2.25095198567836,"Interneurons","5X"
"142","Srsf11",2.17518181031767,"Interneurons","5X"
"143","Pnisr",2.33549696619018,"Interneurons","5X"
"144","Sgip1",1.88074999741453,"Interneurons","5X"
"145","Atp6v0b",2.50903258665767,"Interneurons","5X"
"146","Macf1",2.1264224317705,"Interneurons","5X"
"147","Rsrp1",2.61176659821685,"Interneurons","5X"
"148","Pclo",1.7777444108805,"Interneurons","5X"
"149","Epha5",1.9313715964488,"Interneurons","5X"
"150","Cit",1.76944434689576,"Interneurons","5X"
"151","Luc7l2",2.53908921084892,"Interneurons","5X"
"152","Tra2a",1.97845314312111,"Interneurons","5X"
"153","Hnrnpa2b1",1.86803958644897,"Interneurons","5X"
"154","Tia1",1.9575646951716,"Interneurons","5X"
"155","Aak1",1.77601109449298,"Interneurons","5X"
"156","Slc6a1",2.05990921181454,"Interneurons","5X"
"157","Grin2b",2.09587862442553,"Interneurons","5X"
"158","Peg3",2.43754496623496,"Interneurons","5X"
"159","Atp1a3",2.83354860825124,"Interneurons","5X"
"160","Snrnp70",2.65693010378684,"Interneurons","5X"
"161","Kcnc1",2.09116182585183,"Interneurons","5X"
"162","Nav2",1.78436929300779,"Interneurons","5X"
"163","Dlg2",1.8513851250731,"Interneurons","5X"
"164","Fus",2.39378341790915,"Interneurons","5X"
"165","Kcnq1ot1",2.58089932752552,"Interneurons","5X"
"166","Syne1",1.94761938925845,"Interneurons","5X"
"167","Ahi1",2.29240010335493,"Interneurons","5X"
"168","Psap",1.9734002980254,"Interneurons","5X"
"169","Ank3",2.00914490415666,"Interneurons","5X"
"170","Atp2b1",1.76358263280367,"Interneurons","5X"
"171","Syt1",3.26696689574992,"Interneurons","5X"
"172","Csmd1",1.89429768678618,"Interneurons","5X"
"173","Gpm6a",1.75502270523798,"Interneurons","5X"
"174","Tecr",1.93471070657432,"Interneurons","5X"
"175","Ndrg4",1.74912643742721,"Interneurons","5X"
"176","Slc22a17",1.9542913430483,"Interneurons","5X"
"177","Mir124a-1hg",2.50207175265586,"Interneurons","5X"
"178","Itm2b",1.76615833275572,"Interneurons","5X"
"179","Mycbp2",2.0306490794841,"Interneurons","5X"
"180","Gria4",1.84830353398493,"Interneurons","5X"
"181","Opcml",2.06134168057169,"Interneurons","5X"
"182","Aplp2",2.05404645044305,"Interneurons","5X"
"183","Kmt2a",1.81695697623608,"Interneurons","5X"
"184","Ncam1",1.821957589852,"Interneurons","5X"
"185","Nptn",1.80489683007157,"Interneurons","5X"
"186","Nktr",2.11943957326168,"Interneurons","5X"
"187","Gria1",1.80221064657362,"Interneurons","5X"
"188","Atp6v0a1",1.82373332107125,"Interneurons","5X"
"189","Ntrk2",2.14352009133849,"Interneurons","5X"
"190","Mef2c",1.92849720722459,"Interneurons","5X"
"191","Map1b",1.79723740729773,"Interneurons","5X"
"192","Rtn1",2.44402003484856,"Interneurons","5X"
"193","Rbm25",1.90575486297431,"Interneurons","5X"
"194","Nrxn3",2.51237229287105,"Interneurons","5X"
"195","Meg3",5.66868705682947,"Interneurons","5X"
"196","Phf20l1",1.84122194936792,"Interneurons","5X"
"197","Ly6h",1.77589889929473,"Interneurons","5X"
"198","Kif21a",1.82086122163985,"Interneurons","5X"
"199","Rbfox1",1.80450314954298,"Interneurons","5X"
"200","Abcc5",1.76757675530474,"Interneurons","5X"
"201","Lsamp",2.25828433216786,"Interneurons","5X"
"202","Cadm2",1.95381409707012,"Interneurons","5X"
"203","App",2.73574878650468,"Interneurons","5X"
"204","Son",1.91845429731789,"Interneurons","5X"
"205","Ttc3",2.73332389059883,"Interneurons","5X"
"206","Srrm2",2.51150136375579,"Interneurons","5X"
"207","Atp6v0c",1.99808035056154,"Interneurons","5X"
"208","Gm26917",2.51790353645198,"Interneurons","5X"
"209","Gm42418",3.24281730162894,"Interneurons","5X"
"210","Ptprs",2.06042549946905,"Interneurons","5X"
"211","Dlgap1",2.79150315032197,"Interneurons","5X"
"212","Nrxn1",2.05300650986761,"Interneurons","5X"
"213","Ndfip1",1.85397191415308,"Interneurons","5X"
"214","Tcf4",2.9475873287923,"Interneurons","5X"
"215","Malat1",6.22127046380815,"Interneurons","5X"
"216","Rtn3",2.213870486756,"Interneurons","5X"
"217","AC149090.1",2.09131258629265,"Interneurons","5X"
"218","Prex2",2.3369037207831,"Astrocytes","5X"
"219","Acsl3",3.0499954240064,"Astrocytes","5X"
"220","Serpine2",2.1374858843946,"Astrocytes","5X"
"221","Gpr37l1",3.02066502062555,"Astrocytes","5X"
"222","Glul",3.23901830344984,"Astrocytes","5X"
"223","Prdx6",2.6128752107109,"Astrocytes","5X"
"224","Atp1a2",4.08047260062539,"Astrocytes","5X"
"225","Slc1a2",4.75267595632539,"Astrocytes","5X"
"226","Prnp",2.33461557576396,"Astrocytes","5X"
"227","Cst3",3.69758510323226,"Astrocytes","5X"
"228","Rbm39",2.26953137061942,"Astrocytes","5X"
"229","Tspan7",2.67180248683362,"Astrocytes","5X"
"230","Ogt",2.14049004783982,"Astrocytes","5X"
"231","Sat1",2.4238987808594,"Astrocytes","5X"
"232","Gpm6b",2.81977122971689,"Astrocytes","5X"
"233","Tnik",2.01627664760214,"Astrocytes","5X"
"234","Ttc14",2.21130648255562,"Astrocytes","5X"
"235","Dclk1",3.24230871208869,"Astrocytes","5X"
"236","Gria2",2.96982754140304,"Astrocytes","5X"
"237","Bcan",3.04826659995069,"Astrocytes","5X"
"238","Gm3764",3.12456799708424,"Astrocytes","5X"
"239","S1pr1",2.31387183452273,"Astrocytes","5X"
"240","F3",2.27070849128721,"Astrocytes","5X"
"241","Ank2",2.9334897394214,"Astrocytes","5X"
"242","Pnisr",2.76467390327236,"Astrocytes","5X"
"243","Plpp3",3.26907834948461,"Astrocytes","5X"
"244","Macf1",2.95071764598908,"Astrocytes","5X"
"245","Rsrp1",2.70090182571699,"Astrocytes","5X"
"246","Per3",2.01279076117673,"Astrocytes","5X"
"247","Gabrb1",2.55104801064273,"Astrocytes","5X"
"248","Slc4a4",2.74344300462093,"Astrocytes","5X"
"249","Sparcl1",3.63593568947803,"Astrocytes","5X"
"250","Ptprz1",3.17118912118505,"Astrocytes","5X"
"251","Ptn",2.17551077268239,"Astrocytes","5X"
"252","Luc7l2",2.29683533570917,"Astrocytes","5X"
"253","Hnrnpa2b1",2.4277130252169,"Astrocytes","5X"
"254","Slc6a1",2.18736701887967,"Astrocytes","5X"
"255","Slco1c1",2.03133424879371,"Astrocytes","5X"
"256","Ttyh1",2.66644962122447,"Astrocytes","5X"
"257","Apoe",3.76930016284258,"Astrocytes","5X"
"258","Slc7a10",2.37232067232044,"Astrocytes","5X"
"259","Snrnp70",2.69217892888231,"Astrocytes","5X"
"260","Luzp2",2.6923695411613,"Astrocytes","5X"
"261","Mfge8",2.41305310042024,"Astrocytes","5X"
"262","Htra1",2.79561284730305,"Astrocytes","5X"
"263","Cd81",2.26835697387599,"Astrocytes","5X"
"264","Syne1",2.32943899245149,"Astrocytes","5X"
"265","Gja1",2.5133515333093,"Astrocytes","5X"
"266","Psap",2.29785763109347,"Astrocytes","5X"
"267","Gpm6a",2.26943576329767,"Astrocytes","5X"
"268","Cpe",2.53824344775864,"Astrocytes","5X"
"269","Gnao1",2.53853746358459,"Astrocytes","5X"
"270","Mt3",2.53615499395982,"Astrocytes","5X"
"271","Mt1",2.27744410956511,"Astrocytes","5X"
"272","Glud1",2.31519641250078,"Astrocytes","5X"
"273","Ndrg2",1.98990480312927,"Astrocytes","5X"
"274","Clu",3.31774629400071,"Astrocytes","5X"
"275","Itm2b",2.19217508226386,"Astrocytes","5X"
"276","Ntm",2.36489539450776,"Astrocytes","5X"
"277","Ncam1",2.06653361802406,"Astrocytes","5X"
"278","Cspg5",2.81727180289719,"Astrocytes","5X"
"279","Atp1b2",2.39785337343182,"Astrocytes","5X"
"280","Msi2",2.38628226296039,"Astrocytes","5X"
"281","Ddx5",2.27053954299181,"Astrocytes","5X"
"282","Ntrk2",2.40266703301302,"Astrocytes","5X"
"283","Ntsr2",3.15623554872046,"Astrocytes","5X"
"284","Nrcam",2.26276183287694,"Astrocytes","5X"
"285","Meg3",2.182347508639,"Astrocytes","5X"
"286","Ckb",2.4562576244022,"Astrocytes","5X"
"287","Slc1a3",3.86502606491567,"Astrocytes","5X"
"288","Ctnnd2",2.23732061665204,"Astrocytes","5X"
"289","Grina",1.9554801347055,"Astrocytes","5X"
"290","Lsamp",2.71663263473007,"Astrocytes","5X"
"291","Zbtb20",2.70298978804254,"Astrocytes","5X"
"292","Cadm2",2.34913402323533,"Astrocytes","5X"
"293","Son",3.15800560658176,"Astrocytes","5X"
"294","Qk",2.12627205118978,"Astrocytes","5X"
"295","Srrm2",2.08317335262562,"Astrocytes","5X"
"296","Gm26917",2.63688855121442,"Astrocytes","5X"
"297","Gm42418",3.54347598220954,"Astrocytes","5X"
"298","Pla2g7",2.12218821234385,"Astrocytes","5X"
"299","Nrxn1",3.05998799417486,"Astrocytes","5X"
"300","Dtna",2.6088300197191,"Astrocytes","5X"
"301","Tcf4",2.46438292819716,"Astrocytes","5X"
"302","Malat1",6.77762329018681,"Astrocytes","5X"
"303","Rorb",2.07372402891422,"Astrocytes","5X"
"304","Scd2",2.23814670696646,"Astrocytes","5X"
"305","Adgrb3",1.92563461950819,"Medium.spiny.neurons","5X"
"306","Sf3b1",1.9465366622031,"Medium.spiny.neurons","5X"
"307","Adam23",1.82830492069132,"Medium.spiny.neurons","5X"
"308","Map2",2.29591162516979,"Medium.spiny.neurons","5X"
"309","R3hdm1",2.3798564490513,"Medium.spiny.neurons","5X"
"310","Cacna1e",1.84443217517983,"Medium.spiny.neurons","5X"
"311","Atp1b1",2.47715087062034,"Medium.spiny.neurons","5X"
"312","Hnrnpu",2.04183445933106,"Medium.spiny.neurons","5X"
"313","Celf2",3.46041792082718,"Medium.spiny.neurons","5X"
"314","Cacnb2",2.18723091106277,"Medium.spiny.neurons","5X"
"315","Nebl",1.8826632558772,"Medium.spiny.neurons","5X"
"316","Grin1",2.12470008590567,"Medium.spiny.neurons","5X"
"317","Lrp1b",2.31428517788715,"Medium.spiny.neurons","5X"
"318","Chn1",2.08048327401274,"Medium.spiny.neurons","5X"
"319","Ryr3",1.84978020422644,"Medium.spiny.neurons","5X"
"320","Meis2",2.39007276974357,"Medium.spiny.neurons","5X"
"321","Plcb1",2.33435116004112,"Medium.spiny.neurons","5X"
"322","Snap25",2.15303968745624,"Medium.spiny.neurons","5X"
"323","Rbm39",2.4370384789862,"Medium.spiny.neurons","5X"
"324","Snhg11",4.60728631537979,"Medium.spiny.neurons","5X"
"325","C230004F18Rik",2.38138236948173,"Medium.spiny.neurons","5X"
"326","Ogt",2.07497008654684,"Medium.spiny.neurons","5X"
"327","Gpm6b",2.16822017805536,"Medium.spiny.neurons","5X"
"328","Tnik",2.04406763827463,"Medium.spiny.neurons","5X"
"329","Ttc14",2.14924266589742,"Medium.spiny.neurons","5X"
"330","Dclk1",2.4671415768453,"Medium.spiny.neurons","5X"
"331","Nbea",1.80851691701798,"Medium.spiny.neurons","5X"
"332","Gria2",3.27044330790651,"Medium.spiny.neurons","5X"
"333","Fnbp1l",1.84054189720775,"Medium.spiny.neurons","5X"
"334","Ank2",2.27818617540691,"Medium.spiny.neurons","5X"
"335","Ppp3ca",2.47531229053333,"Medium.spiny.neurons","5X"
"336","Fubp1",1.94182689554407,"Medium.spiny.neurons","5X"
"337","Zranb2",1.92683312140727,"Medium.spiny.neurons","5X"
"338","Srsf11",2.37931618284306,"Medium.spiny.neurons","5X"
"339","Lrrc7",2.69673312533914,"Medium.spiny.neurons","5X"
"340","Pnisr",2.39159630561046,"Medium.spiny.neurons","5X"
"341","Ptprd",2.1600841719941,"Medium.spiny.neurons","5X"
"342","Atp6v0b",2.30478498901635,"Medium.spiny.neurons","5X"
"343","Macf1",2.00234074006376,"Medium.spiny.neurons","5X"
"344","Sfpq",2.14732511890429,"Medium.spiny.neurons","5X"
"345","Rsrp1",2.1806351905669,"Medium.spiny.neurons","5X"
"346","Dpp6",1.766034846132,"Medium.spiny.neurons","5X"
"347","Ablim2",1.92383153561158,"Medium.spiny.neurons","5X"
"348","Auts2",1.96003021472297,"Medium.spiny.neurons","5X"
"349","Cttnbp2",2.24941968403508,"Medium.spiny.neurons","5X"
"350","Luc7l2",2.46186877011421,"Medium.spiny.neurons","5X"
"351","Tra2a",1.80319302992025,"Medium.spiny.neurons","5X"
"352","Hnrnpa2b1",1.76308611950199,"Medium.spiny.neurons","5X"
"353","Tia1",1.86286696260122,"Medium.spiny.neurons","5X"
"354","Foxp1",1.97940725473167,"Medium.spiny.neurons","5X"
"355","Itpr1",1.94422971474431,"Medium.spiny.neurons","5X"
"356","Grm7",1.90112166500203,"Medium.spiny.neurons","5X"
"357","Atp2b2",2.09163356425168,"Medium.spiny.neurons","5X"
"358","Grin2b",2.55944141165598,"Medium.spiny.neurons","5X"
"359","Etnk1",1.86301442569909,"Medium.spiny.neurons","5X"
